,CD,BA
MIR1302-2HG,3,2
FAM138A,0,0
OR4F5,1,1
AL627309.1,293,278
AL627309.3,1,1
AL627309.2,0,0
AL627309.5,3140,3251
AL627309.4,47,38
AP006222.2,5,1
AL732372.1,0,0
OR4F29,0,0
AC114498.1,0,0
OR4F16,0,0
AL669831.2,142,155
LINC01409,17631,17428
FAM87B,173,157
LINC01128,25431,27888
LINC00115,5835,6542
FAM41C,1166,1230
AL645608.6,2,0
AL645608.2,37,39
AL645608.4,0,3
LINC02593,10,2
SAMD11,936,1089
NOC2L,194029,237518
KLHL17,8684,9414
PLEKHN1,12330,12197
PERM1,102,91
AL645608.7,42,38
HES4,5536,6007
ISG15,462612,579800
AL645608.1,25,26
AGRN,9077,8358
AL645608.5,0,1
AL645608.8,945,1023
RNF223,26,33
C1orf159,20557,22360
AL390719.3,161,158
LINC01342,4,10
AL390719.2,26,28
TTLL10-AS1,15,19
TTLL10,114,160
TNFRSF18,786622,894685
TNFRSF4,1351055,1580322
SDF4,346948,402238
B3GALT6,99138,120418
C1QTNF12,1510,1714
AL162741.1,547,593
UBE2J2,183239,214195
LINC01786,218,252
SCNN1D,621,632
ACAP3,22763,25922
PUSL1,64072,77931
INTS11,125296,151496
AL139287.1,79,77
CPTP,31822,36950
TAS1R3,360,339
DVL1,33316,38028
MXRA8,55,80
AURKAIP1,884374,1018789
CCNL2,111832,130715
MRPL20-AS1,46445,53323
MRPL20,1146622,1312686
AL391244.2,2291,2474
ANKRD65,52,41
AL391244.1,1,0
TMEM88B,2,0
LINC01770,7,11
VWA1,3995,3688
ATAD3C,2858,3489
ATAD3B,122150,163994
ATAD3A,144232,181155
TMEM240,514,557
SSU72,437228,504689
AL645728.1,9455,10402
FNDC10,12698,14493
AL691432.4,2124,2244
AL691432.2,6803,7463
MIB2,66791,71157
MMP23B,792,1136
CDK11B,176259,209101
FO704657.1,2969,3066
SLC35E2B,36965,42000
CDK11A,155148,174366
SLC35E2A,29595,31791
NADK,55483,65660
GNB1,460649,506119
AL109917.1,675,785
CALML6,58,46
TMEM52,497,690
CFAP74,84,91
AL391845.2,0,0
GABRD,45,45
AL391845.1,1,2
PRKCZ,3503,4041
AL590822.2,539,636
PRKCZ-AS1,485,534
FAAP20,267251,291276
AL590822.1,7,13
SKI,49781,52784
AL590822.3,185,172
MORN1,6420,7322
AL589739.1,11,20
AL513477.2,456,505
RER1,448257,511097
PEX10,30730,36003
PLCH2,1187,1307
AL139246.1,73,89
AL139246.4,5,6
PANK4,13127,14950
HES5,113,141
AL139246.5,17148,20361
TNFRSF14-AS1,22791,24886
TNFRSF14,219343,265692
AL139246.3,3900,4422
PRXL2B,23655,26347
MMEL1,1000,1131
AL831784.1,1,1
TTC34,1480,1731
AC242022.2,0,0
AC242022.1,0,0
AL592464.2,0,0
AL592464.3,6,15
AL592464.1,0,0
AL589702.1,0,0
ACTRT2,0,0
PRDM16-DT,1,1
PRDM16,29,34
AL008733.1,0,0
AL590438.1,2,1
AL354743.2,0,1
AL354743.1,0,2
ARHGEF16,1,0
