,CD,BA
MIR1302-2HG,0.00120696990003879,0.000718083179468902
FAM138A,0,0
OR4F5,0.000402435506041437,0.000359086266834661
AL627309.1,0.113357627806777,0.0965353993542364
AL627309.3,0.000402435506041437,0.000359086266834661
AL627309.2,0,0
AL627309.5,0.907672031906889,0.855410445024406
AL627309.4,0.0187941569418012,0.0135828347550878
AP006222.2,0.0020110558868329,0.000359086266834661
AL732372.1,0,0
OR4F29,0,0
AC114498.1,0,0
OR4F16,0,0
AL669831.2,0.0560507485550405,0.0546182451710036
LINC01409,2.56530500268235,2.41639732799048
FAM87B,0.0680028806615437,0.0553096573710405
LINC01128,3.01701175869428,2.98953449398718
LINC00115,1.39390104094041,1.39424196360771
FAM41C,0.406316371867356,0.385358861612606
AL645608.6,0.000804758785195764,0
AL645608.2,0.0148158534003372,0.0139385565390829
AL645608.4,0,0.00107699078236105
LINC02593,0.00401931234861838,0.000718083179468902
SAMD11,0.334717966315534,0.346061004276027
NOC2L,5.78480139192876,5.90990510485604
KLHL17,1.77514072662758,1.74133011073666
PLEKHN1,2.15052611423463,2.01300004764906
PERM1,0.0404808675895553,0.032316258699905
AL645608.7,0.0168063764669428,0.0135828347550878
HES4,1.34736302449958,1.31922841371869
ISG15,7.02305843580832,7.18318842221654
AL645608.1,0.0100273628504638,0.00930731792044373
AGRN,1.82063051574636,1.62319359582673
AL645608.5,0,0.000359086266834661
AL645608.8,0.337587473065762,0.327291880004026
RNF223,0.0104270113374613,0.0118029090027179
C1orf159,2.75170238368624,2.71503418936917
AL390719.3,0.063387987733574,0.0556552392509027
LINC01342,0.00160906891309431,0.00358684705736849
AL390719.2,0.0104270113374613,0.0100207845531081
TTLL10-AS1,0.0060247771682219,0.00680740245350938
TTLL10,0.0451695007473185,0.0563461547686055
TNFRSF18,7.78435009022623,7.80551485501416
TNFRSF4,8.56195750917661,8.62348107050562
SDF4,6.61166838194431,6.66005796893601
B3GALT6,4.8408714958573,4.95306620870882
C1QTNF12,0.507179410356021,0.512648701891011
AL162741.1,0.204898574167281,0.198639802073369
UBE2J2,5.70379578470595,5.76340340309097
LINC01786,0.0851784336437244,0.0877758064103098
SCNN1D,0.230510795186094,0.210792994974951
ACAP3,2.87785359271624,2.89777853987844
PUSL1,4.23841907170665,4.35045562658572
INTS11,5.16815352927286,5.27470863818887
AL139287.1,0.0314515050480991,0.027391400033453
CPTP,3.30420301463134,3.35021237093042
TAS1R3,0.138073853220859,0.116880357890959
DVL1,3.36382929043075,3.38768420153926
MXRA8,0.0219689199369564,0.0284481430859116
AURKAIP1,7.95261264653869,7.99213263024855
CCNL2,5.00896890261319,5.06776625847886
MRPL20-AS1,3.80296888342895,3.83529017948782
MRPL20,8.32594141879415,8.35653000662752
AL391244.2,0.712953869146902,0.692297146925569
ANKRD65,0.0207792023721355,0.0146497370868072
AL391244.1,0.000402435506041437,0
TMEM88B,0.000804758785195764,0
LINC01770,0.0028146939659842,0.00394504177884949
VWA1,1.0803498918116,0.939644913889331
ATAD3C,0.845864818225394,0.901895159368947
ATAD3B,5.13250006970594,5.38622901701569
ATAD3A,5.36592698135285,5.5265391427918
TMEM240,0.193328651111902,0.187329869668791
SSU72,6.94228538097861,6.98450437873218
AL645728.1,1.86307103356339,1.84373314737809
FNDC10,2.18350669415327,2.20406286698418
AL691432.4,0.671353297385194,0.640250991967671
AL691432.2,1.53502841645608,1.51488938243178
MIB2,4.29526386741281,4.22598094981407
MMP23B,0.288012237202478,0.359279585573894
CDK11B,5.64886183648335,5.72932543968203
FO704657.1,0.870510134194108,0.81821352022789
SLC35E2B,3.49987336762757,3.51791634489366
CDK11A,5.46871726852047,5.47265136536301
SLC35E2A,3.21048067643079,3.1560329958946
NADK,4.04255479876539,4.11642996532305
GNB1,7.01697089539074,6.98855418138884
AL109917.1,0.248917941457633,0.257506156234864
CALML6,0.0231576572102714,0.0164261561859623
TMEM52,0.187331978495573,0.22867971965844
CFAP74,0.0334192228641709,0.032316258699905
AL391845.2,0,0
GABRD,0.0179993733791466,0.0160710473102527
AL391845.1,0.000402435506041437,0.000718083179468902
PRKCZ,0.983522851344837,1.00427025569687
AL590822.2,0.202102252968886,0.212033707203627
PRKCZ-AS1,0.18308397566714,0.180057383070656
FAAP20,6.2395369152379,6.19981980233534
AL590822.1,0.0028146939659842,0.0046611645326223
SKI,3.89609737423146,3.82166464783998
AL590822.3,0.0726030585279473,0.0604847137039663
MORN1,1.48082852740478,1.4970604403992
AL589739.1,0.00442062839543351,0.0071647985608931
AL513477.2,0.172766031490102,0.170835162339707
RER1,6.97793703668674,7.00256401270159
PEX10,3.25900699342372,3.31647144267074
PLCH2,0.41267999673993,0.406375912318991
AL139246.1,0.029086695559719,0.0316137359165334
AL139246.4,0.0020110558868329,0.00215317817667045
PANK4,2.22102590572635,2.23924913327032
HES5,0.0447793627859302,0.0497690594097484
AL139246.5,2.53208027236164,2.60133429540457
TNFRSF14-AS1,2.87938596389888,2.84697206850586
TNFRSF14,5.95869455459091,6.06907639417301
AL139246.3,1.06215293422514,1.07091901857876
PRXL2B,2.92588789882128,2.91811423821064
MMEL1,0.355000411082179,0.357879096597469
AL831784.1,0.000402435506041437,0.000359086266834661
TTC34,0.49865854327514,0.516921730653729
AC242022.2,0,0
AC242022.1,0,0
AL592464.2,0,0
AL592464.3,0.00241293088367391,0.00537693199483168
AL592464.1,0,0
